coupling,timer_offset,steps,finished
0.0,0.0,0.0,0
0.05,0.0,2897.0,19
0.1,0.0,1463.0,21
0.15,0.0,652.0,21
0.2,0.0,414.0,21
0.25,0.0,236.0,21
0.3,0.0,197.0,21
0.35,0.0,188.0,21
0.4,0.0,11.0,21
0.45,0.0,10.0,21
0.5,0.0,11.0,21
0.0,0.5,0.0,0
0.05,0.5,0.0,17
0.1,0.5,1628.0,21
0.15,0.5,726.0,21
0.2,0.5,621.0,21
0.25,0.5,393.0,21
0.3,0.5,195.0,21
0.35,0.5,151.0,21
0.4,0.5,17.0,21
0.45,0.5,11.0,21
0.5,0.5,10.0,21
0.0,1.0,0.0,0
0.05,1.0,0.0,6
0.1,1.0,1540.0,21
0.15,1.0,980.0,21
0.2,1.0,475.0,21
0.25,1.0,406.0,21
0.3,1.0,234.0,21
0.35,1.0,22.0,21
0.4,1.0,15.0,21
0.45,1.0,13.0,21
0.5,1.0,12.0,21
0.0,1.5,0.0,0
0.05,1.5,0.0,1
0.1,1.5,2128.0,21
0.15,1.5,1010.0,21
0.2,1.5,629.0,21
0.25,1.5,387.0,21
0.3,1.5,362.0,21
0.35,1.5,183.0,21
0.4,1.5,14.0,21
0.45,1.5,13.0,21
0.5,1.5,12.0,21
0.0,2.0,0.0,0
0.05,2.0,0.0,0
0.1,2.0,0.0,16
0.15,2.0,1585.0,21
0.2,2.0,485.0,21
0.25,2.0,266.0,21
0.3,2.0,242.0,21
0.35,2.0,240.0,21
0.4,2.0,18.0,21
0.45,2.0,20.0,21
0.5,2.0,9.0,21
0.0,2.5,0.0,0
0.05,2.5,0.0,0
0.1,2.5,0.0,13
0.15,2.5,1479.0,21
0.2,2.5,761.0,21
0.25,2.5,475.0,21
0.3,2.5,239.0,21
0.35,2.5,224.0,21
0.4,2.5,15.0,21
0.45,2.5,12.0,21
0.5,2.5,13.0,21
0.0,3.0,0.0,0
0.05,3.0,0.0,0
0.1,3.0,0.0,9
0.15,3.0,1309.0,21
0.2,3.0,828.0,21
0.25,3.0,460.0,21
0.3,3.0,272.0,21
0.35,3.0,24.0,21
0.4,3.0,17.0,21
0.45,3.0,15.0,21
0.5,3.0,19.0,21
0.0,3.5,0.0,0
0.05,3.5,0.0,0
0.1,3.5,0.0,2
0.15,3.5,1827.5,20
0.2,3.5,749.0,21
0.25,3.5,483.0,21
0.3,3.5,458.0,21
0.35,3.5,221.0,21
0.4,3.5,25.0,21
0.45,3.5,13.0,21
0.5,3.5,14.0,21
0.0,4.0,0.0,0
0.05,4.0,0.0,0
0.1,4.0,0.0,0
0.15,4.0,0.0,18
0.2,4.0,1240.0,21
0.25,4.0,442.0,21
0.3,4.0,277.0,21
0.35,4.0,218.0,21
0.4,4.0,16.0,21
0.45,4.0,14.0,21
0.5,4.0,12.0,21
0.0,4.5,0.0,0
0.05,4.5,0.0,0
0.1,4.5,0.0,3
0.15,4.5,0.0,16
0.2,4.5,1019.0,19
0.25,4.5,502.0,21
0.3,4.5,251.0,21
0.35,4.5,226.0,21
0.4,4.5,16.0,21
0.45,4.5,14.0,21
0.5,4.5,12.0,21
0.0,5.0,0.0,0
0.05,5.0,0.0,0
0.1,5.0,0.0,0
0.15,5.0,0.0,15
0.2,5.0,1218.5,20
0.25,5.0,533.5,20
0.3,5.0,265.0,21
0.35,5.0,19.0,21
0.4,5.0,239.0,21
0.45,5.0,21.0,21
0.5,5.0,17.0,21
